000010*ZZ*VERTOBS NGS   NAT 
000020*10*LXXX         1993020219930202MM4    12MD    EIBNGS            19930202
000030*11*TEST OF VERTCON WITH 30 RECORDS
000031*15*NAVD88  Datum                                                         
  First group
000040*30*0001AK2363                   KM0       FT 2.0110000ACRN00282758 803222
000050*30*0002AK2370                   KM0       FT 2.5700000ACRN00282740 803225
000060*30*0003AK2433                   KM0       FT 2.6460000ACRN00282727 803242
000070*30*0004AK2374                   KM0       FT 2.6020000ACRN00282735 803217
000080*30*0005AK5091                   KM0       FT 2.5930000ACRN00282729 803208
000090*30*0006AK2384                   KM0       FT 2.5420000ACRN00282722 803159
  Second group
000100*30*0007AQ2556                   KM0       FT 15.096000ACRN00293348 813926
000110*30*0008AQ2557                   KM0       FT 26.612000ACRN00293306 813934
000120*30*0009AQ2571                   KM0       FT 7.0780000ACRN00292846 814028
000130*30*0010AQ1540                   KM0       FT 8.0150000ACRN00292537 813838
  third group
000040*30*0001AK2363                   KM0       FT 2.0110000ACRN00282758 803222
000050*30*0002AK2370                   KM0       FT 2.5700000ACRN00282740 803225
000060*30*0003AK2433                   KM0       FT 2.6460000ACRN00282727 803242
000070*30*0004AK2374                   KM0       FT 2.6020000ACRN00282735 803217
000080*30*0005AK5091                   KM0       FT 2.5930000ACRN00282729 803208
000090*30*0006AK2384                   KM0       FT 2.5420000ACRN00282722 803159
  fourth group
000100*30*0007AQ2556                   KM0       FT 15.096000ACRN00293348 813926
000110*30*0008AQ2557                   KM0       FT 26.612000ACRN00293306 813934
000120*30*0009AQ2571                   KM0       FT 7.0780000ACRN00292846 814028
000130*30*0010AQ1540                   KM0       FT 8.0150000ACRN00292537 813838
  End of bench marks
